tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_60	0.9958147200000002	0.03916581347904763	0.936821371039667	0.6850647799999997	0.4	0.1951219512195122	0.26229508196721313	8.0	33.0	12.0	41.0	0.1509433962264151	1.0805561245965862	0.2909748633357073	0.3532682619378478
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_6	0.9974293699999996	0.03347441495047621	0.9426397619576953	0.62428829	0.45	0.225	0.3	9.0	31.0	11.0	40.0	0.17647058823529413	1.2406248674676277	0.33631483026208675	0.3235170018317479
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_59	0.9991295400000003	0.04602887815523808	0.9431091470224583	0.7531392800000001	0.4	0.21052631578947367	0.27586206896551724	8.0	30.0	12.0	38.0	0.16	1.0822730892401171	0.2975250734188862	0.38305601561529745
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_58	0.9974587100000001	0.03725732040857143	0.919682285187693	0.6777151899999998	0.4	0.1568627450980392	0.22535211267605632	8.0	43.0	12.0	51.0	0.12698412698412698	1.2947218310747202	0.3292927896646371	0.35190377466417205
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_57	0.9970989200000001	0.07039112087999994	0.9617562402107036	1.0316976599999998	0.35	0.21875	0.2692307692307692	7.0	25.0	13.0	32.0	0.15555555555555556	1.15246193984646	0.33253022508595254	0.531816646070946
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_75	0.9984086700000002	0.03388417658571427	0.9461859333926934	0.58106249	0.35	0.16666666666666666	0.22580645161290322	7.0	35.0	13.0	42.0	0.12727272727272726	1.0992764655168032	0.2941074460245305	0.296946071505806
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_65	0.94962368	0.044054128774285724	0.9384354802618194	0.6020912999999999	0.55	0.20754716981132076	0.30136986301369867	11.0	42.0	9.0	53.0	0.1774193548387097	1.5291491750055175	0.385147794746766	0.361986496608352
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_76	0.9971177499999999	0.04237585961047619	0.9224409624063956	0.8048126899999999	0.5	0.2222222222222222	0.30769230769230765	10.0	35.0	10.0	45.0	0.18181818181818182	1.407763366099849	0.3698156508182548	0.4080290361213822
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_87	0.9979526799999998	0.038502917164761896	0.9496832335020274	0.70100082	0.35	0.15555555555555556	0.21538461538461537	7.0	38.0	13.0	45.0	0.1206896551724138	1.4260508539042522	0.37461972468967036	0.3602569462597171
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_78	0.99835636	0.01397121375238096	0.9556101343392864	0.41065722	0.4	0.24242424242424243	0.30188679245283023	8.0	25.0	12.0	33.0	0.17777777777777778	1.208479929390905	0.3456248579894542	0.20827884231114574
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_98	0.99408682	0.03400463937428573	0.9282369996366455	0.6465095200000001	0.55	0.2391304347826087	0.33333333333333337	11.0	35.0	9.0	46.0	0.2	1.143453190092151	0.2986576886361595	0.33701019859684667
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_97	0.9961344300000001	0.03358643420952381	0.9395056301250923	0.72978485	0.4	0.22857142857142856	0.2909090909090909	8.0	27.0	12.0	35.0	0.1702127659574468	1.251333705576404	0.35195814416330107	0.3690946730445946
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_96	0.99845804	0.028199033587619025	0.9379099483286087	0.53072742	0.4	0.19047619047619047	0.25806451612903225	8.0	34.0	12.0	42.0	0.14814814814814814	1.1223863908647018	0.30029042304177483	0.2753468163396834
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_95	0.9972093800000001	0.02434495854380952	0.9212842201401791	0.4631014600000001	0.55	0.24444444444444444	0.3384615384615384	11.0	34.0	9.0	45.0	0.2037037037037037	1.1252097197278619	0.29558956769917183	0.2369871706675512
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_94	0.9988473099999997	0.01771587904761904	0.9290592966878136	0.4642739699999999	0.4	0.18604651162790697	0.25396825396825395	8.0	35.0	12.0	43.0	0.14545454545454545	1.30503925272275	0.34697416052857416	0.2441095438507232
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_93	0.99810748	0.01894842826476191	0.9349723606832576	0.4823177400000001	0.45	0.25	0.32142857142857145	9.0	27.0	11.0	36.0	0.19148936170212766	1.255259374793954	0.3502867980752903	0.25378112069240943
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_92	0.9978697099999999	0.03996506639619049	0.9364334061639892	0.6928507499999996	0.5	0.25	0.3333333333333333	10.0	30.0	10.0	40.0	0.2	1.1219137635616354	0.3041340270174585	0.3627160955953058
