tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_7	0.9999999999999987	0.07294153072067495	6.593203479240151	0.6151154333479536	0.6785714285714286	0.04428904428904429	0.08315098468271336	19.0	410.0	9.0	429.0	0.04337899543378995	2.707371785353352	0.4466536381540689	0.31524819642578356
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_5	1.0000000000000009	0.07020723933838985	8.62494820748587	0.6362904654806385	0.6551724137931034	0.0420353982300885	0.079002079002079	19.0	433.0	10.0	452.0	0.04112554112554113	2.8274045956805525	0.46247163534401137	0.3261639740421454
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_0	0.9999999999999986	0.07724055354293659	6.391756560955611	0.6522209417170256	0.64	0.04	0.07529411764705882	16.0	384.0	9.0	400.0	0.039119804400977995	2.75668510354209	0.4601020471485079	0.3329271543437002
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_3	1.0000000000000007	0.06840557110197173	4.368256076574619	0.5664265856900851	0.6451612903225806	0.06578947368421052	0.11940298507462686	20.0	284.0	11.0	304.0	0.06349206349206349	2.632092701025158	0.4603953030309334	0.2890624719652598
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_2	1.0000000000000009	0.07315107326931575	7.820284959649012	0.6174426321006632	0.6428571428571429	0.043689320388349516	0.08181818181818182	18.0	394.0	10.0	412.0	0.04265402843601896	2.7438213250752614	0.45570680694531546	0.31432414391562774
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_1	1.0000000000000004	0.0729503639709493	10.56603684288526	0.6342653203172699	0.6129032258064516	0.03512014787430684	0.06643356643356643	19.0	522.0	12.0	541.0	0.034358047016274866	2.82771108482813	0.44931236257095847	0.32488606612675003
marmgCAMI2_short_read_sample_0-9.LSHvec_1dfe822.profile	marmgCAMI2_short_read_sample_4	0.9999999999999997	0.062194797257261805	3.3184138394607183	0.5816818202245709	0.6296296296296297	0.1118421052631579	0.1899441340782123	17.0	135.0	10.0	152.0	0.10493827160493827	2.194501459621083	0.43681402264945135	0.2954379242130402
marmgCAMI2_short_read_sample_0-9.metalign_0.6.2_default.profile	marmgCAMI2_short_read_sample_6	0.9556390000000003	0.03208219610952384	0.45293183751996097	0.17987220000000004	0.8	0.9230769230769231	0.8571428571428571	24.0	2.0	6.0	26.0	0.75	1.6098270490428306	0.49410047561709675	0.09472596582492
marmgCAMI2_short_read_sample_0-9.metalign_0.6.2_default.profile	marmgCAMI2_short_read_sample_9	0.9660397000000003	0.03178619762857132	0.42095311153783166	0.22766950000000002	0.7586206896551724	0.9166666666666666	0.830188679245283	22.0	2.0	7.0	24.0	0.7096774193548387	1.6184325497108367	0.5092527175770476	0.11809994731217116
marmgCAMI2_short_read_sample_0-9.metalign_0.6.2_default.profile	marmgCAMI2_short_read_sample_8	0.9703106000000001	0.03248752659999996	0.4486976906968405	0.18530479999999996	0.7666666666666667	0.92	0.8363636363636363	23.0	2.0	7.0	25.0	0.71875	1.4629106133304486	0.45447873510011794	0.09589555903799736
