Genome	SRR24442552 Mean	SRR24442553 Mean	SRR24442554 Mean	SRR24442555 Mean	SRR24442556 Mean	SRR24442557 Mean	SRR24442558 Mean	SRR24442559 Mean
6_bin.28	0.28160673	1.0362902	17.896353	0.9947393	1.0664581	20.963036	4.016142	1.4229622
6_bin.29	0.54171574	2.9183838	10.485959	0.2928988	0.58044124	2.1324944	0.8519325	0
6_bin.30	0	0.2043647	16.84047	3.054193	0.65980417	0	0	3.3730578
6_bin.31	3.4754949	7.550612	33.079872	5.710454	5.593966	2.6414738	0.932219	3.0797663
6_bin.32	0	0	10.421523	0.12897208	0	0	0	0
6_bin.34	2.5596547	5.9025273	52.279484	22.350536	15.42144	1.3333483	1.3302398	3.1634254
6_bin.35	0.47441992	0.40552738	7.454497	0.7619907	0.6482205	0.91230524	0.32907483	0
6_bin.42	3.7143695	0.6426294	9.408958	1.5185962	0	0.58383226	0	0
6_bin.43	9.621297	29.4205	37.679436	57.417416	27.475685	3.525797	3.338452	9.775686
6_bin.45	0	2.5549605	18.801641	1.9981289	1.0093354	3.208908	0.6669235	1.0410656
6_bin.47	0	0	9.406046	0.14527926	0	2.5478263	2.715476	1.0781758
6_bin.52	0	0.3236068	12.912108	0.3867086	0	0	0	0
6_bin.54	2.2550075	0.7458835	6.811631	1.1833608	1.3323945	0.5130017	0.23290285	0.26132116
6_bin.59	1.4647044	6.577031	48.83765	98.209915	2.5498683	0	0	0
6_bin.62	0.38459173	0	7.064831	0.26936743	0	0	0.5086325	0
6_bin.64	0.3502056	8.8700075	9.799159	3.8085408	2.8811007	3.7872658	0.7339009	0.3941699
6_bin.65	0.7364316	4.1303735	13.039249	0	0.45270237	0	0	0
6_bin.70	0.14437267	0	7.6379457	0	0	0	0	0
6_bin.72	0	1.2354047	5.856089	0	0	0	0	0
6_bin.75	0.60320705	2.7877796	5.0778575	0.7848662	0.8767298	3.0727427	0.2652445	0
6_bin.76	0.16838121	0.36265734	2.4434643	4.305677	0.63995516	10.142623	2.1712315	0.13507624
6_bin.77	0.52871466	0.36400035	2.650391	3.1194296	15.432476	0.65806687	0.41781875	2.81272
7_bin.1	35.974323	335.48306	0.6148316	0	2.05984	1.9110956	9.913716	56.38885
7_bin.3	0.39937985	17.383904	0	0	0	0	0	0
7_bin.4	0	12.92313	0.14073573	0.13360302	0	0	0	0
7_bin.5	0	4.857627	0	0	0	0	0	0
7_bin.6	1.5720315	8.833291	5.9754305	0.27708226	0.2794834	1.7025236	0	0
7_bin.7	0.1361374	4.656114	2.1321034	2.4953868	0	0.44318363	1.8395094	0.55206484
7_bin.9	6.4309263	20.111803	38.420208	3.6258733	9.89237	42.507465	3.1670988	0
7_bin.11	2.436767	9.676284	0.59507614	0	0	0	0	0
7_bin.12	0	9.175033	0	0	0	0	0	0
7_bin.17	0.5331889	6.7178006	0	0	0	0	0	0
7_bin.18	3.308704	16.382107	2.9588542	0.18090974	2.1833348	3.7920473	1.416764	0.3004727
7_bin.19	0.9382395	17.256598	25.024786	0	0	0	0	0
7_bin.20	0	8.048267	0	0.4788357	2.7596958	22.586916	1.0703071	1.1181756
7_bin.27	0	14.011977	0.50544655	7.9272056	2.077353	0.61100745	0.2756256	0.28875336
7_bin.31	0	16.930387	26.648823	0	1.7744462	0.3503051	0.22690842	0
7_bin.32	0	16.883604	2.3735504	1.4586644	0	0	0	0
7_bin.33	0	17.025528	0	0	0	0	0	0
7_bin.36	0	14.971868	0	0	0	0	0	0
7_bin.39	0.18145826	41.856384	3.903453	0.16094439	0	0	0.2525724	0
7_bin.40	0	8.809968	2.6956766	0	2.4022381	5.526019	6.1993494	1.4762362
7_bin.41	0	6.2025514	0	0	0	0	0	0
7_bin.42	6.488748	16.062487	39.868385	4.3743086	5.9096565	14.678733	5.0319753	0.4154869
7_bin.47	1.9652255	5.974335	1.7050184	1.5622201	1.1737187	1.8054782	0.6246399	0.1905096
7_bin.48	0.24723257	43.780163	0	0	0	0	0	0
7_bin.49	0	6.0164332	0	0	0	0	0	0
7_bin.50	0	6.094656	0.4125705	0	0	0	0	0
7_bin.51	0	288.89114	1.4343785	0.123970635	0	3.8922057	0	0
7_bin.52	0	6.268646	0	0	0	0	0	0
7_bin.54	3.4798956	14.640932	5.113817	24.185928	0.40434876	0.6727016	0	0
7_bin.55	2.4526417	26.584448	0	0	0	0	0	0
7_bin.57	0	12.129022	0	0	0	0.14499693	0	0
7_bin.58	1.8451377	11.878035	7.415224	0.28942597	0.5136328	1.1750878	13.673198	11.94452
7_bin.61	2.5750148	2.2551267	1.1680415	0.52434766	0	0.50409746	0.18964629	0
7_bin.63	0	4.8856635	0	0	0	0	0	0
7_bin.65	1.6472731	14.426371	25.707666	4.0123262	13.849688	22.02071	3.0452626	0.29768533
7_bin.67	0	17.061728	18.93888	0.59475386	40.628166	0.14518356	1.853829	12.374121
7_bin.72	5.922948	7.891186	7.2446103	0	2.1355968	273.21533	666.093	7.3092337
7_bin.73	4.7042794	19.394451	41.501827	11.870766	18.261051	32.765865	4.416973	13.603959
7_bin.75	3.4880245	14.988127	2.635972	0	0	0.774056	0	0
7_bin.78	0	5.522463	0	0	0	0	0	0
7_bin.79	5.7916503	12.426223	49.609333	9.861194	43.134678	171.81168	11.7201185	0.90520406
7_bin.80	0	6.8543105	0.3965831	0	0	0.6660754	0.23355253	0
7_bin.81	0.883789	41.122044	24.190838	0	0.59099674	0	0.17822759	0
7_bin.82	0.3173324	34.159714	24.16152	2.3550553	150.6262	4.598455	2.15626	3.8491232
7_bin.84	7.956949	7.048947	0	0	0	0.20887797	0	0
7_bin.87	0.21674517	4.280639	0.20909794	0	0	0	0	0
8_bin.1	15.10066	3.4549782	1.6579328	0	0.32679546	2.2407594	0.2494059	0
8_bin.3	8.832076	0.21293531	0.49006665	0	0	0.24391527	0	0
8_bin.5	17.119043	0	0.18358898	0.11930828	0	2.8331368	0	0
8_bin.6	7.632062	0.76220345	3.1251016	0	0.15211275	0.7068106	0.66160184	0
8_bin.8	15.895803	1.6733124	0.4628278	0	0	0	0	0
8_bin.10	6.38944	1.3147128	0.16618522	0	0.4179809	1.0744748	0.24648884	0
8_bin.12	11.5124035	0.58761615	0	0	0	0	0	0
8_bin.13	4.760052	0	0	0	0	0	0	0
8_bin.14	9.323338	0	0	0	0	0	0	0
8_bin.16	7.5634155	0	0	0	0	0	0	0
8_bin.18	16.721684	1.2510763	0.74191576	0.14979355	0	0.27189237	0	0
8_bin.20	10.804367	9.092353	2.166933	10.471517	0.83478403	0	0	0
8_bin.21	8.17929	0.16484442	0	0	0	0	0	0
8_bin.22	11.372288	0	0.23638658	0	0	0.5100788	0	0
8_bin.23	15.073774	2.5080543	1.5046582	0	0.48888144	3.052381	1.1417825	0
8_bin.24	21.824677	0.47765705	0.25728306	0	0	0.40180472	0	0
8_bin.25	10.75295	1.6273546	0	0	0.301843	7.591324	8.265782	0
8_bin.26	25.812082	0.18814991	0.29887906	0	0.18005106	6.3612337	0.9236828	0
8_bin.28	22.433226	0	0	0	0	0	0	0
8_bin.31	9.714388	0	0	0	0	0	0	0
8_bin.32	4.737339	0.81057996	0	0	0	0.22122474	0.40932366	0
8_bin.33	7.14551	3.1770349	0.5570393	4.176655	69.05114	0.64561975	0.9034456	53.080585
8_bin.35	17.713469	0.64663625	0.9065711	0	0.31486523	2.626001	1.718259	0.4110418
8_bin.40	6.2142334	0	0	0	0	0	0	0
8_bin.41	11.924675	0	0	0	0	0	0	0
8_bin.42	30.461466	0	0	0	0	0.30538478	0	0
8_bin.44	30.171722	19.50272	0	4.3193417	0	0	0	0
8_bin.45	87.779015	0	0	0.66506314	0	0	0	0
8_bin.52	8.8438425	0.81962335	0	0	0	0	0	0
8_bin.54	10.418359	0.20050728	0	0	0	0	0	0
8_bin.55	10.414489	18.809042	2.5803	0	0	0.5047484	0	0
8_bin.56	10.520273	4.037541	2.194553	0	0.5414323	2.533204	0.21905729	0
8_bin.59	14.93401	2.2880554	0	0	0	0	0	0
8_bin.62	8.211906	0	0	0	0	0	0	0
8_bin.68	9.505193	0.6077858	0.79249686	0	0.20376183	1.0025266	0	0
8_bin.70	421.20892	0.7892059	0	0	0	0	0.13828313	0
8_bin.71	72.91347	0.21182352	0.5581323	1.6747013	4.397619	5.490954	46.77377	0
8_bin.73	11.79176	0	0	0	0	0	0	0
8_bin.76	17.604008	9.047605	7.463893	2.2845483	2.699543	2.5700338	0.61273813	1.3329291
8_bin.77	57.719227	0.20922022	0	0	0	0	0	0
8_bin.80	5.1141033	0.63107365	0	0	0.24036896	1.6829351	0.7997514	0
8_bin.82	5.1858435	0	0.28039244	0	0	0	0	0
8_bin.85	4.974696	0	0.26917517	0	0	0	0	0
Co_bin.2	0.23146424	1.043235	0.8694237	0	0.4421872	4.7489333	0.30756447	0
Co_bin.5	15.012551	0.756748	0.93581057	0.5183608	0.30540136	0.95447654	0.31274694	0.5818778
Co_bin.7	0	0.2837515	0.24660034	0	0.3417103	3.109981	5.2933846	0.47159788
Co_bin.8	0.22301316	4.4301286	3.143544	0.91443217	0.27682927	0	0	0
Co_bin.10	0.30975866	0.14927709	0.55452025	0	0	5.1796904	4.1989822	0.42047697
Co_bin.11	0.34061536	0.21106747	2.6723387	0	2.266516	2.7933633	1.7511024	0
Co_bin.12	1.9439396	1.3170155	1.0950882	0	0	5.322855	1.6078641	0
Co_bin.14	0.4351811	2.7666485	4.72453	1.0310855	3.67449	3.3648286	2.2394152	1.2108124
Co_bin.16	0	0	3.7663262	0.96143454	0	0	0.5162018	0
Co_bin.17	0	0	0.31089136	8.415111	1.0414892	1.2179304	0	0
Co_bin.19	1.0138413	0.8393043	1.152531	0.20692597	0.41026226	3.6319919	0.4125432	0
Co_bin.20	2.2977414	0	0.18829489	0.30379623	4.8434196	1.2829987	0	0
Co_bin.21	2.290067	1.2623862	3.6554203	0.13726033	0	0.5986024	0	0
Co_bin.25	0	0	0.395284	0	1.6920859	4.668811	6.54577	5.0194654
Co_bin.33	2.3178403	5.0560174	9.076943	2.4870162	5.230197	2.2366602	0.6667062	0.9068634
Co_bin.34	0	0	0	0	0	0	6.5735173	1.0742947
Co_bin.39	0.38362193	3.1362062	3.804276	0.14598034	0	0.26124594	0	0
Co_bin.40	0.20014258	0	0	0.4157881	1.3156239	6.288285	0.30344352	0
Co_bin.41	0.46661732	0.18603499	4.0892067	0	0	0	5.2800283	2.5778937
Co_bin.42	4.9354677	2.0694764	0.19743943	0	0	0.64516336	0	0
Co_bin.43	1.2134969	5.1022406	7.008593	0	0.45065138	2.3194063	0	0
Co_bin.45	0.64286	19.648361	15.136823	13.977228	4.5351005	0.9720139	8.307813	258.3088
Co_bin.46	0.77745765	1.4679755	1.2837868	0.42478585	1.3443434	9.277828	2.0309837	0
Co_bin.47	0	0.28157493	0.2139118	0	0	95.30051	23.368963	0
Co_bin.48	1.5674081	0	0.43197408	0	0	0	0	6.3928227
Co_bin.49	0	23.647161	0	0	0	0	0	0
Co_bin.53	3.656312	4.3862634	4.6146398	3.3787284	1.4676546	4.029574	0.9303681	0.21027955
Co_bin.55	2.2246888	1.3924701	4.547985	0.22088084	0.25637496	7.631795	2.4152822	0.19615768
